Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,# of Delays.Carrier,# of Delays.Late Aircraft,# of Delays.National Aviation System,# of Delays.Security,# of Delays.Weather,Statistics.Carriers.Names,Carriers.Total,Flights.Cancelled,Flights.Delayed,Flights.Diverted,Flights.On Time,Flights.Total,Minutes Delayed.Carrier,Minutes Delayed.Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed.Security,Minutes Delayed.Total,Minutes Delayed.Weather,Rate,Ratio_Rank
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2014/05,1,May,2014,3,3,1,1,1,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,1,2,1,3,2,2,2,1,1,2,2,0.8210082812727009,1.0
SAN,"San Diego, CA: San Diego International",2014/05,1,May,2014,1,2,0,0,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",1,1,1,0,0,0,1,1,0,1,1,0,0.78015503875969,2.0
SEA,"Seattle, WA: Seattle/Tacoma International",2014/05,1,May,2014,1,1,0,1,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,1,0,2,1,1,1,0,2,1,0,0.8492615117289314,1.0
SFO,"San Francisco, CA: San Francisco International",2014/05,1,May,2014,2,3,3,2,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",1,2,3,2,2,3,3,3,3,2,3,2,0.7211945778028805,2.0
SLC,"Salt Lake City, UT: Salt Lake City International",2014/05,1,May,2014,0,1,0,0,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,0,0,2,1,1,1,0,0,0,1,0.8758518855065879,1.0
TPA,"Tampa, FL: Tampa International",2014/05,1,May,2014,1,1,0,0,0,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,0,0,3,0,0,1,1,0,0,0,1,0.7755575379125781,2.0
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2014/06,1,June,2014,3,3,3,2,3,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,2,3,3,3,3,3,3,3,2,3,3,0.7891743415737599,2.0
BOS,"Boston, MA: Logan International",2014/06,1,June,2014,2,2,2,2,3,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,2,2,0,1,1,2,2,2,2,2,2,0.748913268474436,2.0
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2014/06,1,June,2014,2,2,1,0,3,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,Envoy Air,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,1,2,2,1,1,2,2,1,0,2,3,0.7458093570177633,2.0
CLT,"Charlotte, NC: Charlotte Douglas International",2014/06,1,June,2014,2,1,1,2,2,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,1,1,1,1,1,2,1,1,2,1,1,0.7979379132578729,2.0
DCA,"Washington, DC: Ronald Reagan Washington National",2014/06,1,June,2014,0,1,1,1,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",2,2,1,2,0,0,0,1,2,2,1,2,0.7375643224699828,2.0
DEN,"Denver, CO: Denver International",2014/06,1,June,2014,3,3,3,1,3,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",1,2,3,3,3,3,3,3,3,1,3,3,0.7361477572559367,2.0
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2014/06,1,June,2014,3,3,3,2,3,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",0,3,3,3,3,3,3,3,3,3,3,3,0.6858488978630322,3.0
DTW,"Detroit, MI: Detroit Metro Wayne County",2014/06,1,June,2014,1,2,0,1,2,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",0,2,1,0,1,1,2,2,1,0,2,2,0.8089728195611833,1.0
EWR,"Newark, NJ: Newark Liberty International",2014/06,1,June,2014,2,3,3,0,2,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,3,2,2,1,1,2,3,3,1,3,2,0.6569575957184026,3.0
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2014/06,1,June,2014,1,0,0,1,0,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",0,0,0,2,0,0,1,1,0,1,0,0,0.7589390962671906,2.0
IAD,"Washington, DC: Washington Dulles International",2014/06,1,June,2014,0,1,0,0,1,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.",0,2,1,1,0,0,1,2,1,0,1,1,0.6997568881685575,3.0
IAH,"Houston, TX: George Bush Intercontinental/Houston",2014/06,1,June,2014,3,3,3,0,3,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",0,3,3,3,2,3,3,3,3,0,3,3,0.686664902764916,3.0
JFK,"New York, NY: John F. Kennedy International",2014/06,1,June,2014,1,1,2,1,2,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",0,2,2,2,1,1,2,1,3,2,2,1,0.7335974828108612,2.0
